pos	conj	neg	fml	onum	note
2	1	True	False	1	4
2	1	True	True	1	4
2	1	True	True	2	4
2	2	True	False	1	4
2	2	True	True	1	4
2	3	True	False	1	4
2	4	False	False	1	3
2	11	True	False	1	4
2	11	True	True	1	4
17	1	True	False	1	4
17	1	True	True	1	4
17	1	True	True	2	4
17	2	True	False	1	4
17	2	True	True	1	4
17	3	True	False	1	4
17	4	False	False	1	3
17	11	True	False	1	4
17	11	True	True	1	4
28	4	True	False	1	2
28	5	False	False	2	7
28	5	False	True	2	7
28	5	True	False	2	7
28	5	True	True	2	7
28	9	True	False	1	6
28	9	True	True	1	6
30	1	False	True	1	1
30	1	True	True	1	1
30	2	False	True	1	1
30	2	True	True	1	1
30	3	False	True	1	1
30	3	True	True	1	1
30	4	False	True	1	1
30	4	False	True	2	1
30	4	True	False	1	2
30	4	True	True	1	1
30	4	True	True	2	1
30	9	False	True	1	1
30	9	True	False	1	6
30	9	True	True	1	6
30	10	False	False	1	1
30	10	False	True	1	1
30	10	True	True	1	1
30	11	False	True	1	1
30	11	True	True	1	1
30	12	False	True	1	1
30	13	False	False	1	1
31	4	True	False	1	2
31	9	True	False	1	6
31	9	True	True	1	6
32	4	True	False	1	2
32	9	True	False	1	6
32	9	True	True	1	6
33	4	True	False	1	2
33	9	True	False	1	6
33	9	True	True	1	6
34	2	False	False	1	1
34	3	False	False	1	1
34	4	True	False	1	2
34	9	True	False	1	6
34	9	True	True	1	6
34	11	False	False	1	1
34	12	False	False	1	1
35	4	True	False	1	2
35	9	True	False	1	6
35	9	True	True	1	6
36	4	True	False	1	2
36	9	True	False	1	6
36	9	True	True	1	6
37	4	True	False	1	2
37	9	True	False	1	6
37	9	True	True	1	6
38	1	True	False	1	1
38	2	True	False	1	1
38	3	True	False	1	1
38	3	True	False	2	1
38	4	True	False	1	2
38	9	True	False	1	6
38	9	True	True	1	6
38	11	True	False	1	1
38	12	True	False	1	1
39	4	True	False	1	2
39	9	True	False	1	6
39	9	True	True	1	6
40	4	True	False	1	2
40	9	True	False	1	6
40	9	True	True	1	6
41	4	True	False	1	2
41	9	True	False	1	6
41	9	True	True	1	6
42	2	False	False	1	1
42	3	False	False	1	1
42	4	True	False	1	2
42	9	True	False	1	6
42	9	True	True	1	6
42	11	False	False	1	1
42	12	False	False	1	1
45	4	True	False	1	2
45	5	False	False	2	7
45	5	False	True	2	7
45	5	True	False	2	7
45	5	True	True	2	7
45	9	True	False	1	6
45	9	True	True	1	6
45	10	False	False	1	1
46	4	True	False	1	2
46	5	False	False	1	1
46	5	False	True	1	1
46	5	True	False	1	1
46	5	True	True	1	1
46	6	False	False	1	1
46	6	False	True	1	1
46	6	True	False	1	1
46	6	True	True	1	1
46	7	False	False	1	1
46	7	False	False	2	1
46	7	False	True	1	1
46	7	False	True	2	1
46	7	True	False	1	1
46	7	True	False	2	1
46	7	True	True	1	1
46	7	True	True	2	1
46	8	False	False	1	1
46	8	False	True	1	1
46	8	True	False	1	1
46	8	True	True	1	1
46	9	True	False	1	6
46	9	True	True	1	6
46	10	False	False	2	1
47	4	True	False	1	2
47	5	False	False	1	1
47	5	False	True	1	1
47	5	True	False	1	1
47	5	True	True	1	1
47	6	False	False	1	1
47	6	False	True	1	1
47	6	True	False	1	1
47	6	True	True	1	1
47	7	False	False	1	1
47	7	False	False	2	1
47	7	False	True	1	1
47	7	False	True	2	1
47	7	True	False	1	1
47	7	True	False	2	1
47	7	True	True	1	1
47	7	True	True	2	1
47	8	False	False	1	1
47	8	False	True	1	1
47	8	True	False	1	1
47	8	True	True	1	1
47	9	True	False	1	6
47	9	True	True	1	6
47	10	False	False	2	1
48	4	True	False	1	2
48	5	False	False	1	1
48	5	False	True	1	1
48	5	True	False	1	1
48	5	True	True	1	1
48	6	False	False	1	1
48	6	False	True	1	1
48	6	True	False	1	1
48	6	True	True	1	1
48	7	False	False	1	1
48	7	False	False	2	1
48	7	False	True	1	1
48	7	False	True	2	1
48	7	True	False	1	1
48	7	True	False	2	1
48	7	True	True	1	1
48	7	True	True	2	1
48	8	False	False	1	1
48	8	False	True	1	1
48	8	True	False	1	1
48	8	True	True	1	1
48	9	True	False	1	6
48	9	True	True	1	6
48	10	False	False	2	1
