1	Buddh	Buddhist term
2	comp	computer terminology
3	food	food term
4	geom	geometry term
5	ling	linguistics terminology
6	MA	martial arts term
7	math	mathematics
8	mil	military
9	physics	physics terminology
10	chem	chemistry term
11	archit	architecture term
12	astron	astronomy, etc. term
13	baseb	baseball term
14	biol	biology term
15	bot	botany term
16	bus	business term
17	econ	economics term
18	engr	engineering term
19	finc	finance term
20	geol	geology, etc. term
21	law	law, etc. term
22	med	medicine, etc. term
23	music	music term
24	Shinto	Shinto term
25	sports	sports term
26	sumo	sumo term
27	zool	zoology term
28	anat	anatomical term
29	mahj	mahjong term
30	shogi	shogi term
